"ID","trial","word","response"
"zgtrcecvauk4","1","tearful","they can watch a funny movie
they can eat some ice cream
they can have a drink
they can talk to their friends
they can convince themselves that whatever made them sad is unimportant
let it out then move on
distract themselves by doing something that makes them happy
"
"hjr8vpd7fapz","1","intense","Think about something funny
Watch a video of cute baby animals
Do something silly
Take a nap
Watch a comedy
"
"xbnmcc5pxceu","1","grouchy","You can perform a secret act of kindness to think about others instead of what's triggering you
You can exercise and release some of that tension
You can go get a massage to relieve tension
You can refocus your feelings on a different, mentally challenging task you need to do
You can watch your favorite movie
You can call up a friend to explain your feeling, and then ask for advice to change your perspective
You can take a nap
You can pray"
"3kofmh9dg9xx","1","insecure","think about things they like about themselves
talk to a friend or family member
do something they're good at
exercise
create something
write about it
do something productive to answer the source of the insecurity
meditate
reflect on the source of insecurity
"
"f8jryrdfkdx2","1","distressed","watch tv
read a book
take a bath
take a walk
call a family member
talk to a friend
write down your problem
talk out loud about the problem
brainstorm solutions
pet a pet
finish something on their to-do list
smell lavender
clean up"
"nbd4iho7n72m","1","failure","Move to a task that they can succeed in
Eat some food to feel happy again
Talk to friends and family about the situation
Read a book as a distraction
Watch a film as a distraction
"
"63szpj5u8o2i","1","gloomy","eat nice food
talk to their friends
watch a good film or tv show
listen to music
do exercise or a sport
"
"ia9y1d0x3x7t","1","emotional","Talk to friends/family about it
Reflect silently and sleep on it
Talk to a counselor
Find activities to distract themselves
Listen to music
Watch a movie
Play a game with friends
Hug a friend/family member
Sleep and relax"
"1ply70vxn292","1",NA,NA
"mtmb7nh1k07f","1","depressed","They can talk to a therapist or counselor.
They can talk to peers and family members about their feelings.
They can read books about their feelings (Self-help books).
"
"0wk103kezs00","1","temperamental","Count to 10 before saying anything 
Think calming thoughts
Take deep breaths
Try to find something positive or uplifting to say instead
Walk away from the situation 
Let out the anger in a healthy way
"
"hr053hyuwem6","1","exhausted","stop what they are working on and get themselves ready for bed.
Take a break and start again in a bit.
Get to bed earlier on a regular basis.
Prioritize their responsibilities and utilize their time more efficiently.
spend less time on their phone during the day.
take a short nap.
Do something unrelated and relaxing
evaluate their commitments and ask themselves if it is a healthy amount of things to be involved in"
"a148vh04a7ry","1",NA,NA
"6wx67twfnuox","1","jittery","Sleep
Workout
Go for a walk
Drink a lot of water
Do not consume any caffeine 
Meditate 
Relax and watch movie
"
"656xmu29mv16","1","distressed","breathe
smile
take a break
call home
nap
give them a hug
watch your favorite movie
eat your favorite ice cream
breath some more
tell them everything will be okay
talk through it
"
"h05dt9u04ag6","1","jittery","They can sit down and attempt to relax
They can listen to music
They can have a sip of water
They can try meditation techniques
They can take a nap/go to sleep
They can exercise and use their energy
"
"aqgoay2w4h2m","1","temperamental","count to 10 and back down in their head
take 5 deep breaths (in through nose, out through mouth)
isolate themself so they don't explode at the smallest thing someone does
eat food. maybe they're just hungry
take a moment to evaluate what you might need right now, then do it if possible
listen to music they enjoy and tune out from the world
"
"barb4qdxq6t1","1","devastated","They can convince themselves that it was supposed to happen
They can distract themselves with positive actions
They can distract themselves with positive media
They can talk about and share their feelings
They can seek comfort in others physically
They can seek comfort in other emotionally
They can take a break from life and take a day off to relax
They can contemplate what are the positives of the situation and focus on those
"
"3y4g82qrfzgu","1","aggravated","They can distract themselves with something they like, including:
Food
Exercise/Physical Activity
Videos/Movies/Music
Hanging out with friends

They can talk out their feelings with a close family member or friend
They can talk out their feelings with whoever made them aggravated

They can go to sleep
I suppose people also drink/use drugs to feel less aggravated

"
"rzv8pux6l1g8","1","touchy","They could go hang out with a loved one or someone they are physically comfortable with. 
They could go play with an animal.
"
"u27jmgu8s0ev","1","sleepy","Go to sleep earlier
Nap more frequently
Drink a coffee
Take a cold shower
Exercise
See a doctor to see if they have insomnia 
Balance their activities better so that they aren't overextending themselves
Tell their friends that they cannot always hang out and make sure they get adequate sleep
Ensure a healthy balance of social and academic activities
Make sure they are taking any and all prescribed medication
Find something to work on to motivate them and take their mind off their sleepiness
"
"3n6trc3kljyo","1","aggravated","meditate
watch something that makes them happy
work out
write a letter to the thing/person they are aggravated at
scream
take a nap
vent to a person
see a therapist
make a plan
make/get comfort food
surround self with people who make them happy
focus on something else"
"sprnfuwnq7ac","1","depressed","go outside and experience nature
cut out toxic people/situations
see a psychologist/psychiatrist
reconsider and lead a healthier lifestyle (diet, exercise, sleep) 
find a support circle professionally and personally
talk to someone
reduce stress as much as possible
take the time to heal and consider these feelings rather than push them away
think about how past events have impacted the present
stop worrying and anticipating about future events
sleep more 
do the activities that they enjoy and feel happy
"
"pia8uidyh0xh","1","angry","Releasing anger by going on a run or doing something physical.
Meditate.
Distract themselves by watching a movie.
Vent it out to family and friends.
Write down their emotions.
Treat themselves to something nice.
Read a calming book.
Expressing anger through music.
Feeling grateful for other things in his or her life."
"ed8h9v6yer07","1","worried","Meditate 
Focus their energy towards avoiding they're worried about 
Think about situations you can do something about and think less about situations in which you are more helpless 
Find peace in the fact that nothing is the end of the world- that life goes on regardless 
Think about the future- what happens after whatever is worrying passes
Take deep breaths 
Exercise 
Express themselves through art (fine or literary) 
Talk to their friend about the causes of their worry for comfort 
"
"xh3pjt4r5nf2","1","angry","Think of reasonable explanations for the situation that is making you angry.
Talk about it with a friend to let off steam.
Exercise.
Find out how to prevent the situation from reoccurring.
Write about it."
"hf2atxzwe00u","1","lonely","reach out to their friends
buy a pet
talk to their siblings or parents
watch a movie
read a book
listen to music

"
"zc266gk0nt5f","1",NA,NA
"iat3flfmgzl6","1","depressed","They can eat ice cream
They can watch comedies
They can pet dogs
They can talk to a therapist
They can go for a walk
They can talk to a friend
They can listen to enjoyable music
They can stroke a cat
They can read a book
They can call their mom or dad
They can watch a play
They can change their eating and sleeping habits
They can do something spontaneous
They can think about the positives in their life"
"pfi2dt661qbd","1","jittery","They can meditate
They can clean their room
They can listen to calming music
They can reflect on positive past events
They can get a massage
They can drink some tea and talk to friends
They can reflect on how life is not that quickly paced
They can express their feelings to a close friend"
"6i5ue4jm9v39","1","tearful","They can hold their breath.
They can cry until they can't anymore.
They can hide away until they can control themselves.
Try measured breathing.
"
"y84228e2pmvp","1","failure","Think about what they have accomplished
Dedicate more time to what they are failing in (if it's something like a class)
"
"j4zhqovyxicy","1","upset","Have a hot beverage
Get a hug
Have sex
Read a book
Play with a dog
Resolve their inner conflicts
Go scream and shout and let it all out
"
