"ID","unusualUses_1","unusualUses_2","unusualUses_taskTime"
"zgtrcecvauk4","writing
drawing
to get something out of a small space
to stab someone
to mark your page in a book
to drop in order to get someone's attention
to click to relieve stress
","to make announcements
to scare someone
to clear a crowd
",NA
"hjr8vpd7fapz","Writing
Poking something
Pressing the ""reset"" button
Underlining
Pointing at something
Fiddling with
Drawing
Throwing
Weighting the end of a string to throw
Building a mini sculpture","Talking over a loud crowd
Yelling across a field
Getting people's attention
Organizing a large group of people
Scaring someone
Making announcements
Used as a prop in a skit
A weapon to hit someone with
",NA
"xbnmcc5pxceu","You can use it to write an essay
You can use it to draw using hatch lines
You can write someone's name in calligraphy
You can line different colored ones along your backpack artistically
You can underline and annotate a book
You can use the point to open something that's wrapped
You can click it incessantly and annoy your friends
You can chew on it as a bad habit
You can collect fancy ones
You can lend it to a friend and win some gratitude
You can sell some if your store sells pens and get money
","You can use it to start a race
You can use it to deliver a speech
You can use it to direct crowds in an emergency
You can use it to announce a game
You can use it if you're lost or trying to find someone who is lost
You can use it for karaoke
You can use it to guide your group in a tour
You can use it to record a message on your very quiet phone",NA
"3kofmh9dg9xx","to write or draw
to stab something
self-defense or other harm
as a doorstop
to get a sock out of a vacuum
to kill a bug
to poke a hole
to spin around your fingers
to poke your friend to annoy them
as a paperweight
to take your computer case off
as a lever
to put in your mouth because you're trying to stop smoking but you need the feeling","to calm a crowd down
to hype a crowd up
to get attention
to annoy a friend
to annoy your whole dorm
to yell at a concert
",NA
"f8jryrdfkdx2","write
draw
dart
toy to take apart
projectile (using clicker as a bouncy thing)
drug (sniff ink)
drug (drink ink)
fuel for fire
thing to learn about spring mechanisms
tool to press small circular holes (to open battery packs and such)
clean small crevices with point 
distraction (clicking)
","as an intercom
to communicate long distance
to amplify music
as a seat
as a thing to swing
weapon
toy to take apart
device to learn wiring from
as a cereal bowl",NA
"nbd4iho7n72m","To write a paper
To sign something
To attach to your shirt pocket, and look intellectual
To stab someone
To conceal a camera or microphone
To hide notes
As an aesthetic prop in a household (esp. fountain pens)
","To shout for attention
To order a crowd
To rally protestors
To deter people away from something
To broadcast news
To be a public nuisance in general
",311.55081
"63szpj5u8o2i","to write
to draw
to stab someone
","To give a speech
to use as a weapon
to increase the volume of any sound
",366.66227
"ia9y1d0x3x7t","To write an essay
To write a card
To jot down notes
To correct/grade an assignment
To sign a contract
To draw something
To poke through something using the tip
To fix/access something that is small or stuck somewhere
Object of distraction/something to fiddle with","To amplify my voice
To get someone's attention
To make myself heard over background noise
As a weapon",313.20901
"1ply70vxn292",NA,NA,NA
"mtmb7nh1k07f","To write something 
To tie your hair 
","To make an announcement
To gather people
To signal an emergency 
",315.3012
"0wk103kezs00",NA,NA,NA
"hr053hyuwem6","writing
drawing
bookmark
paperclip
parts for another pen
straight edge
measuring something
a way to get someone's attention
something to fidget with
a toy
distraction from class/hw
herding animals
keeping animals separate 
closing off groups
","Talking to a large group
directing traffic
starting a race
giving instructions to a crew team
getting someone's attention
startling people who are too close to warrant using this.
Starting/organizing a protest
leading a group on a march
organizing an event
advertising during a parade
",345.31827
"a148vh04a7ry",NA,NA,NA
"6wx67twfnuox","write on paper
throw at someone
throw at something
use to get mechanical advantage when trying to pry something up 
to hold a door open
to extend my reach when moving and object 
to fiddle with 
","To yell at people
To wake up a lot of people at once
to make super loud echos 
to control a large crowd 
to start a riot
",328.525040000001
"656xmu29mv16","writing
drawing
stabbing
splinting
fashion statement
signing
fidget with
playing spoons


","to raise your voice
to grab someone's attention
to be heard
to hurt someone's ear
to annoy someone
",354.385685
"h05dt9u04ag6","write
throw
twirl
fidget with
cross things out
do homework
take notes
make a hornet shooter
draw pictures
color
make labels
touch computer screen","talk into to
speak to a crowd
scream/encourage a sports team
be heard at rallies
lead people
throw
amplify sounds
show leadership in a situation
order a group around
give directions
bother people with it",316.223455000001
"aqgoay2w4h2m","writing
tying up hair
balancing on finger
juggling
making noise (hitting against something)
measure the length of something using a pen length as a measurer
keeping a door open
drawing
coloring

","speaking louder
singing louder
yelling louder
hold a door open
carry items that  can fit in the funnel shape
 ",558.29157
"barb4qdxq6t1","Writing
Drawing
Using as a faking cigarette prop
To chew on while thinking
To give an emergency tracheotomy
To sign checks
To Fill out applications
To fill out forms
To take a test
To write down notes
To use as a fake shiv
To use as a fake witch/wizard wand
To play air drums with

","To have a rally
To use as a siren sound
To be heard over a loud crowd
To give order/commands
To alter the sound of your voice
To use in music
To announce sales/deals outside
To give directions
To silence a crowd
To injure someone's ears
To use in the place of a microphone
To use a stage prop",315.784880067413
"3y4g82qrfzgu","writing notes
writing a grocery list 
signing a contract
drawing
sketching
doing problemsets (math, physics, etc.)
doodling
blueprint design
tracheotomy
twirling
giving as a souvenir at like a conference
unlock those doors that have the small holes on the outside
chewing on the end
if all else fails, a weapon
","to address a large crowd
to start a race you are officiating
to get someone's attention
to piss off your friends
to coach players in a game
practical joke
to distract someone
in general, to amplify your voice
as a prop in a skit
at a summer camp",320.98073
"rzv8pux6l1g8","Someone could write.
Someone could draw.
Someone could play with it.
Someone could poke someone else.
Someone could take it apart. ","Someone could give instructions to a large crowd.
Someone could use it at a pep rally.
Someone could sing into it. ",313.35202
"u27jmgu8s0ev","write
draw
put the pen away
trace the outline of the pen
give the pen as a gift
throw the pen away
place the pen in a drawer
sell the pen
refill the pen's ink cartridge 
place the pen in my pocket
lend the pen to a friend","use at a sports game
use to surprise a friend
use to direct traffic
use during a gym class
use to direct an event
use as decoration in my room
remove batteries for another object
",316.455
"3n6trc3kljyo","writing 
drawing 
procrastinating
playing catch
playing pretend 
paperweight 
using the cap to hold papers together 
tapping
pointing 
doing a magic trick
outlining a tattoo
grading
editing
being silly by balancing on face
","make announcement
sing really loud
look like an authority figure
give orders
make encouragements during an event
use as alternative during a mic malfunction
make a beat
hide small objects
paperweight
get attention
",327.549575
"sprnfuwnq7ac","to write with
to draw/doodle with
to tie up your hair with
to twirl/fidget with","to scream
to root for a team
to use at big events
to direct people
to protest
",315.665305
"pia8uidyh0xh","To write notes
Outline plan for the day
Doodle in a notebook
To open something (like use the pen tip to open a small shaft or something)
To give as a gift to someone.
","For coaching during team practice (like for track and field).
For a teacher to make announcements at school.
To announce an event at a large gathering of people.
",433.739785
"ed8h9v6yer07","To write 
To perform a tracheotomy (sp?) 
to draw (on paper or a person)
To activate a system in a rube Goldberg device 
oppose the sword 
to occupy space on a desk or a backpack 
to look pretty 
to create calligraphy 
to write music 
to give life to an idea 
transport people to alternative dimensions through translation of words ","To call attention to an emergency 
To rally a crowd 
To communicate with someone far away 
To sing into (use as a microphone) 
To play a game with children about zapping aliens with the ""laser gun"" 
",348.61216
"xh3pjt4r5nf2","writing
drawing
doodling
designing
taking notes in margins
labeling
signing
crossing things off
check-marking things on a list
underlining
","to be heard at a pep rally
to coach a sports game from the sidelines
to lead an event
to start a race
to annoy people
to wake someone up
to find someone in a crowd
",326.639445
"hf2atxzwe00u","writing utensil
something to pin up my hair
a tool to rip open plastic coverings
two pens make a pair of chopsticks
makeshift foil/sabre/epee
","to talk to a lot of people in a big crowd
use as a focal point in a painting/drawing",329.01942
"zc266gk0nt5f",NA,NA,NA
"iat3flfmgzl6","To write down a shopping list
To draw a picture
To write an essay
To take notes in class
To doodle
To point at objects with
To put behind your ear
To write love letters
To communicate
To throw when frustrated
To tap annoyingly against a desk","Use it to instruct a large group of people
Use it to yell at people
Use it to project your voice
Use it to annoy your siblings 
Use it to talk to people in a noisy area
Use it to direct a movie

",319.16678
"pfi2dt661qbd","To write a note
To spin on my finger
To flatten a fold on a piece of paper
To sign a document
To click nervously
To draw a picture
To take notes in class
To take notes in a work meeting
To write down things to remember to do
To write a card for someone
To write a letter
To study, as writing helps me remember
To solve a math problem
To write an essay
To make a drum beat
To give to a friend
","To yell at someone
To motivate people to work harder
To cheer on someone at a sporting event
To make that cool alarm sound that most of these things have
To get a group's attention
To give instructions to a group of people
To evacuate people from a building on fire
To maintain order in a hectic situation
",361.41891
"6i5ue4jm9v39","writing
entertainment - taking apart and putting back together
pen towers
holding papers together
punching holes
opening a package
manipulating something you don't want to touch
throwing it at someone annoying
signing things
fidgeting
stopping an uneven table from rocking","spreading instructions
drawing a crowd
energizing said crowd
annoying passerby
calling for someone lost in the woods
hitting someone
paperweight
scrap parts
",322.68161
"y84228e2pmvp","Writing
Drawing
Doodling
Put in your hair 
Poke holes in something
","A cop could use it to talk to someone from inside their vehicle 
At a sports game
A coach to yell at the players on the field
A cheerleader
",372.842555
"j4zhqovyxicy","writing
throwing
take it apart
put it back together
extract the ink
slingshot
melt the nib
use the cylinder as a blowgun
painting
tap on my lip
spin through my fingers
chew the end
roll across the table
use it as a drumstick
warm my hands
mash a pineapple
punch a hole
use two as chopsticks
hold down a tent
snorkel","make an announcement
mount it to a vehicle
play a song
pretend it doesn't work
use it to hold water
speakers at a party
prop in a movie
disturbance at a funeral
threaten a librarian with noise
tell someone to stop
shout at random people on the street
pretend to be a police officer
wake someone up
hook it up to your alarm so that you wake up
scare a cat in a tree",364.54411
"u498l95or7np","writing
doing an assignment
writing a paper
writing a note
writing a letter
signing a document
using it as a weapon
using the ink for something else
drawing with it
","announcing to crowd
at a pep rally
at a protest
making an announcement
you can sell it
",376.579295
"7wua7gopt4k8","to write
to draw
to bookmark a page
to chew on
to loan
to point to something
to take notes
to twirl
to pry open a can
to dig a hole
to poke a hole
to mark something
to wrap a splint","to project
to draw attention
to create noise
to emphasize
to elevate/amplify
to make heard
to announce
to direct/give directions
to call attention
to create order in an unorganized situation
",323.59765
"9pa7mfd4rubz","Writing
Drawing
Illustrating an idea
If it's a ""clicky"" pen, I'd click it open and closed multiple times.
Twirling in my fingers
Tapping someone to wake them up in class
Throwing out of frustration
Paper weight
Constantly lose them
Underlining
Circling
","Getting a message across to a large crowd
Sound more serious
Irk people next to me
Make that weird ""woooop"" sound
Yell ""move that bus"" Extreme Makeover style",332.29592
"hl0jpyfe02sw","Stick it up your butt as an enema
Stab someone
Write with it
Brand your significant other as yours
Use to shoot a spitball
Use as a whistle
On a deserted island, using it as a hunting tool or as part of a water purification device
Flicking the tip such that it hits a friend in class and alerts them
Cutting yourself
Drinking the ink
giving a terrible tattoo
turning into a shank in prison
making a mini catapult
Sending as a gift ","Protesting
Making someone who always wanted to be deaf be deaf
Hitting someone over the head
Torturing a criminal by blasting it in their ear
Calling all people stuck in a disaster town, alerting them of rescue workers coming to save them
Trying to get a suicidal man to come out of his house
Trying to break up a hostage situation from a remote location
Praying loudly such that your congregation hears you
Using as a bowl of cereal
Making the perfect donut using its mould
Making a brownie sheet that is very crusty, except the megaphone plastic would poison you",325.6186
"eeukrcggxx3o","To write with 
To draw with 
To make a hole in something fragile, like a piece of paper
To use as a book mark
","To make your voice louder to address a large group of people
To play music loudly in the absence of a normal speaker
To prop open a door 
To hit someone with 
",317.76461
"j2x2vhg83u9h","writing
poking
drawing
doodling
listing
sword-fighting
digging a hole
crafting a mustache 
taking notes
playing tic-tac-toe
tent stake
puncturing something
roasting marshmallows
getting a key out of a grate by sticking gum on it
picking your nose
putting your hair in a bun
making yourself throw up
opening a can of beer
frantically completing homework","yelling at people to get in line
knocking someone out to subdue them
killing someone
running a carpool
being a cheerleading coach
creating a band out of people with similar megaphones
using it as a weight so a balloon doesn't fly away
maintaining general order
looking authoritative
bullying
using megaphone part as vase for flowers
using string part to strangle a small child",323.25217
"p5u9r9m1uh0b","Write something 
Draw something
Smoke
Hurt/protect yourself from someone
A support for something
An example/visual
Reach something in a tight place
Put it behind your ear for a look
Twist/twirl it in your hands to keep from picking your nails
Get someone's attention","Have your voice heard by more people/people farther away
Sound an alarm
A game
Organize people
",317.5194
"bq16gvcq7u48","To take notes
To write a book
To make a list
To open a box
To draw
To create a painting
To sign something
To complete homework
To write an essay
To address a letter
To write a letter
To take measurements
To annotate a book
","To make a call in a game
To cheer a team on
To give directions
To direct traffic
To call attention to someone in a group setting
To make announcements
To promote team spirit
To wake someone up
",314.281615
"agge90qqyjhj","Writing a story
Taking notes
Writing poetry
Writing an essay
Putting your hair up into a bun/ponytail
As a prop to make a friend (""Can I borrow a pen?"")
As a prop to impress an attractive stranger (dropping on the floor, and picking up)
As an accessory in a shirt pocket
As a way to contain pigs or other livestock
As a place to contain children, so they can play

","To deal with a hostage situation.
To convey news in an emergency.
To talk to kids at a school assembly. 
To dry your hair. 
To dry wet clothing.
To dry a paper-mache school project. 
As an air horn. 
To convey warning. 
To signal ""start"" in a race.
To annoy your friends.
",315.77501
"5o9ptvrbynfu","something you write with it
throw it at something/weapon
stack a bunch up and make a tower
sell them
buy them
make art
like a fence, trap farm animals in (pig pen)
","yell at someone
shout instructions at a crew team (crew)
give instructions to a movie set
cheer coach give instructions
self defense, hit someone with it
announce a sports game
direct traffic

",321.378745
"tue9ikgul5zq","to itch your ears
to write something
to draw something
to sketch something
to clean something
to play with and fidget
to chew on
to record something
to poke a hole
","to make noise
to annoy someone
to get someones attention
to announce something
to talk to someone far away
to send a warning",369.9092
"umuss3ln1x8v","write, take a test, draw, build a statue of pen, waste ink, tap to make music, break it in half, hit someone, poke, bookmark, swirl in hand, throw it to someone, calligraphy, doodle","call someone, make a speech, catch someone's attention, lead a group exercise, direct a large group of people, sing, read a book aloud, make someone go deaf, read a poetry, call for help when you are lost",846.253835
"0qxabjy7ujod","Write with.
Draw with.
Chew on.
Twirl hair around.
Pretend sword-fight.
Use as stabbing device.
Take apart & Put back together (fidget). ","Use to project voice.
Organize a crowd. 
Find a specific person in a crowd.
Direct traffic. 
Demonstrate how to use a megaphone.
Explain what a megaphone is.
Diagram the parts of a megaphone.
Wear as a hat.
Use as a prop. 
Table centerpiece.
",329.47632
