"ID","trial","word","response"
"6qyjh03w1tmc","1","emotional","They might be feeling sad
They might have gone through a tough time
They might be in a fight
They might not understand something or someone
They might be emotionally hurt
They might be tired
They might be feeling sorry for themselves
They might be confused
They might be frustrated
They might feel like they were used
They might feel like they were lied to
They might be scared
They might be angry at someone or something"
"fotw2whals6q","1","good","Thinking about positive things
Appreciating life
Grateful for what they have
Happy to be surrounded by loved ones"
"gcdusdxn3ajb","1","excited","They just got a promotion
They made a new friend
They just got paid
They're about to go on a big vacation
They finished a big project
They have a great new roommate
Their favourite band is performing near them
They're about to get laid
They just got a really good haircut
They're listening to cool music
The weather is getting warmer"
"52lgz188nf0d","1","blessed","They were doing something bad, the cops came, but they didn't notice the problem or didn't give them a fine or a ticket.
They didn't study at all for the exam, but they still scored well. 
They got into an internship they didn't think they would get in. 
Their parent or family memeber came out well out of a surgery. 
Their family is safe after a natural disaster. 
They didn't lose their homes because of financial reasons. 
Someone came to help them in time of serious need.  "
"04zjrf3wqi2y","1","content","They feel happy for someone else.
They are glad they are finished with something.
They are at relaxed after eating a nice meal.
They are pleased with the results of something.
"
"yck6zmx99kea","1",NA,NA
"b1drxu77qajo","1","contemplative","they are focused
they're confused about something and want to figure it out
they have new information and are trying to fit it into the information they currently have
they have an important decision to make and are weighing the factors
they forgot which task was for which person and are trying to remember
they are remembering past events"
"lksv5911ze2i","1","okay","They don't care about things
They had some good and bad things happen to them recently
They are in a tough period but are working through it
They aren't satisfied with their life
They are actually doing fine 
"
"c2w3kbv6zxen","1","hopeful","waiting to hear back from a job
waiting to hear back from an audition
waiting for an answer from someone they just asked out
waiting to hear an ""I love you too""
waiting in a hospital for a loved one to recover
hoping for the well being of a family member who's a soldier
hoping the next season of your fave show won't be shit
you're pregnant and hoping for a safe childbirth and to be a good parent
hoping trump won't start a nuclear war
waiting for the results from an std test
waiting for the results from an academic test
graduating from college and taking on adulthood
"
"3k8j8qzbxah5","1","contemplative","There is a problem that they are turning over in their head, but are not feeling rushed. 
They are mentally both relaxing and exploring ideas.
They are wondering about something but the answer is not super urgent, are happy to just think about it for now.
They are examining themselves, or another thing, in a rambling way and not necessarily concerned with a particular problem or issue.
They were given an open-ended prompt or scenario, just beginning to think of what to do with it."
"4knbxr1j9r0w","1","okay","They might be unexcited, but not upset
They might be logically thinking through a process
They might have been previously upset, but coming to terms with the situation
They might be planning out a set of tasks
They might be generally satisfied, but not overjoyed with their current situation
They might be recovering from a time of sadness
They might be readjusting from a period of extreme happiness"
"fk8yjoees187","1","sad","They feel sorry for themselves.
Something didn't work out the way they wanted it to.
They miss someone.
They feel lonely.
They feel hopeless.
They are dreading something in the future.
They feel like they have no goal in life.
They feel like everyone is against them.
They feel frustrated.
They feel like they do not fit in or belong.
They feel unwanted or unloved.
They feel like they have no one to talk to or to turn to.
They are worried about something that will or may happen.
They want something that they can't have.
They regret a decision they made.
They are worried for another person."
"h2uguxo3f15k","1","loved","They are being told that they are special 
Their spouse has done something nice for them 
They thought about all the close friends they have 
They thought about special things that friends have done for them 
They imagine themselves with the people they love 
"
"n83yfzpk5d95","1","happy","they hooked up with someone
they are experiencing pleasure
they are thinking of experiencing pleasure
they are remembering pleasure
they are feeling love
they are feeling greatful/content
they are experiencing less pain in their life than previously
they are smiling
they are eating something they enjoy
they are doing something they enjoy
they are thinking about different scenarios that bring them joy
they could be drunk, so not much is actually going on in their mind"
"v0wlo1vbdrvr","1","disappointed","they made a bad grade
they are did not win in an athletic event
they did not get the class they wanted
they did not get the professor they wanted
they are not happy with their friends
they are not happy with their family
they did not make an event on time
they did not get invited to something 
they did not get a job they wanted
they did not get an internship they wanted
they did not get an award they wanted
they feel let down by their friends
they feel let down by their significant other
they feel let down by their family
"
"adh7by1744ki","1","flirty","wow that person is cute
i just want a relationship
i wonder what that person thinks of me
ooh i want to talk to that person
hi bb
i'm going to go talk to that person
"
"rx9qm0tytmgv","1","creative","they feel openminded
cultured 
freeing 
thinking imaginatively 
think of stories they've read as a child- those that involve fun fantasies
"
"h9nwvyegtku5","1","happy","they think my life is great
everything is great
my friends are amazing
i'm so smart
i'm so attractive 
i'm so likable 
nothing can go wrong
i can do anything i put my mind to
the world is beautiful
i never want this moment to end
people are wonderful and pleasant
my existence is a blast"
"plz2mnfli3y9","1","angry","They just found out that they've been lied to by their best friend.
They received a poor grade on a test they studied hard for.
Their sibling gets praised while they get scolded for the same actions by their parents.
Their computer shut down in the middle of a project, deleting their progress."
"0jq1859e2bzk","1","flirty","They might be really self-confident at the moment
They might be looking for a self-confidence boost
Maybe they're horny
We can probably assume they're not asexual since asexuals really don't flirt (speaking as an asexual)
Perhaps they haven't gone out in a while and just want to have a fun night
Maybe they feel great about their most recent haircut
Maybe they're worried their biological clock is ticking and they want kids soon
They might feel stressed that they're single
"
"1hj6zbvwrnqv","1","content","Not thinking about what they need to do
Friends are there for them
Family is getting along
Grades are where they expected them to be
The weather is okay
"
"hhfkcv3yebo0","1","amused","they're appreciating the myriad absurdities of life
they feel silly, but in a comfortable way
"
"0khxbx7e1pra","1","content","Thinking about how happy they are with how their life is turning out
Having optimism about the future
Thinking about all the positive things in their life
Thinking about going on a vacation
Thinking about starting a new day tomorrow
Thinking about treating themself
Thinking about the people they love in their life
Thinking about things they are going to do"
"ezoezxvl64br","1","okay","Neutral
Not really feeling great, but not wanting to make a big deal out of it
Just finished playing The Last Of Us
On the upswing from a string of feeling bad
Some positive, some negative
Not much positive or negative
Feeling adequate
Feeling inadequate, but that's really the only thing wrong with them
They could feel better, but they could also feel worse
They feel like there's not much improvement, but they're not super psyched about the state of their life right now
They feel fine
They don't want any big, sweeping changes, but wouldn't mind some small improvements
They want things to keep going just the way they have been
They are willing to settle for how they feel at the present time
Has it r"
"per8r9c1jny9","1","flirty","I want to seduce this guy or girl I like. 
I want to come across as friendly but cool.
I'm going to make this person notice me. 
This is my night to make my move.
I'm going to be extra talkative and bubbly today."
"qyhw6g8xa8rd","1","bored","Not knowing what to do in their life
Having no environmental stimuli
Doing the same thing over and over again 
No change in a person's life
Knowing that you have to complete a lot of assignments that are not fun
They don't want to physically exert themselves
Can't think of anything do to 

"
