"ID","creativeF_1_target","creativeF_2_target","trial","word","response"
"6qyjh03w1tmc","mother","partner","1","bored","Their mother could give them something to do
Their mother could give them a chore to do
Their mother could name activities to do
Their mother could ask for help in what she's doing
Their mother could tell them to go outside and do something
Their mother could tell them a story or otherwise entertain them
"
"fotw2whals6q","best friend","partner","1","worried","Reassure them
Compliment them
Encourage them
Lessen the gravity of the situation
Try to provide suggestions or solutions
Hug them
Listen to them"
"gcdusdxn3ajb","brother","sister","1","insecure","The brother knows the person well and may know why they feel insecure
The brother can be trusted and won't be as judgemental
The brother may make the person feel more comfortable
The brother may have a similar feeling because of a shared upbringing
As a family member, the brother could have helpful insights
The brother may be more honest
"
"52lgz188nf0d","sister","best friend","1","exhausted","Their sister can nap with them. 
Their sister can put on loud and upbeat music and start dancing. 
Their sister can give them a pep talk about having so much time in the day to do many things. 
Encourage them to go for a run or bike ride with them. 
Tell a parent that they are exhausted and maybe need a talk with their parents. 
Made them coffee. "
"04zjrf3wqi2y","best friend","mother","1","sad","Listen to what they have to say
Take them out to do something the sad person enjoys
Spend more time with them
Give advice that may be hard now, but will make them better in the longrun
Try to find them help if they need it"
"yck6zmx99kea",NA,NA,"1",NA,NA
"b1drxu77qajo","brother","father","1","drained","He can play a game with them for distraction
He can try to get to the root of the problem
He can take on the task that is draining to the person
He can listen
He could help the person with other menial tasks if they want him to
He could joke with them
"
"lksv5911ze2i","sister","mother","1","worried","They can calm them down
They can take them to do some activities
They can reason with them why they shouldn't be worried
They can empathize with them that everyone gets worried
They can pray for them
"
"c2w3kbv6zxen","brother","partner","1","worried","go over realistic worst case scenarios (if it's anxiety related)
reassure them that it'll probably end up being okay
he might make a promise to handle the worrying situation for his sibling
if it's something that can be handled with strength somehow, he might offer that
hug his sibling
distract his sibling by hanging out and doing fun things
let his sibling vent
pat his sibling on the back
"
"3k8j8qzbxah5","best friend","father","1","depressed","They can listen attentively and ask questions and help them understand why they are feeling this way.
They can reassure them that there are things that can help, they can help them seek them out (counseling etc).
They can reassure them that they are not super weird, examples of others' depression or rates of depression.
Tell them that Princeton doesn't really give failing grades, they tighten the curve at the bottom.
Hug!

"
