"ID","unusualUses_1","unusualUses_2","unusualUses_taskTime"
"6qyjh03w1tmc","Writing
Drawing
Poking a hole in something
Signing something
Draw on your skin
Press a small button that is sunk into a surface
Playing it with it in class
Throwing it
Using as a paper weight
Use as an item to remember someone by
","Cheering on your favorite team at a game
Encouraging or berating your players if you are a coach
Yelling on the platform as a train conductor
Dispersing crowds as a police officer
Making funny noises in public
Listening to how your voice sounds
Hitting something
Participating in a protest
Giving directions to a large group of people
",320.092100000009
"fotw2whals6q","Writing
Drawing
Tattooing
Chewing
Stabbing
Throwing","Speak into
Get someone's attention
Give a speech
Annoy someone
Start a riot/rally",318.459199999983
"gcdusdxn3ajb","writing device
for emergency tracheotomy
hair accessory
nail
weapon
pointer/baton
hole poker
straw
ruler
","as a megaphone
as a siren
microphone
sound effect
amplifier for music
decorative purposes
part of a halloween costume
hat stand
communication device with partially deaf family member",439.4988
"52lgz188nf0d","writing 
chewing on it
holding a place in a book
playing with it 
letting someone have it
letting someone borrow it
signature
filling out important forms
making notes more ""fun"" to read rather than just using pencil for everything
","to say ""get ready, set, go"" in a race or a meet 
yell instructions for a large room 
get everyone's attention
to play around with it in public
use it to play music like a loud speaker
you are mad at one person and use it in front of them 

",360.55680000002
"04zjrf3wqi2y","writing
poking holes
unit of measure
something to demonstrate concepts with
something to fiddle with
straight edge
","make announcements
protest
make noise
cheer someone on
paper weight
",321.575600000011
"yck6zmx99kea",NA,NA,NA
"b1drxu77qajo","for writing on paper
for a peashooter
you can use the cap to make yourself sneeze
to sign a document or contract
use as part of a splint or other medical emergency use
fling at someone who's annoying you because most likely it won't hurt them
shading a picture
drawing a picture
writing music
chew on to destress
put behind your ear

","To communicate with a crowd of people
To coach a team
To direct flow of traffic in an emergency
to spread a message
to coach a marching band
The sheer novelty of your voice being really loud
talk to someone who's far away
scare off animals
paperweight
To run a competition
To clearly communicate protest chants
to annoy someone

",330.537000000011
"lksv5911ze2i","Writing utensil
Weapon
Extended
Poker
Spring weapon","To address a crowd of people
As a weapon if needed
As an emergency signal ",318.527400000001
"c2w3kbv6zxen","writing notes for class
writing creatively
writing in a personal journal
making fake tattoos 
drawing
committing sins by using it for math
scratching your arm or elsewhere
vandalism (mostly in high school bathrooms and on desks)
could be used in a sexually deviant way (like the pen in the ass box in the show Scrubs haha)
calm nerves (by clicking/tapping it repeatedly)
annoy the hell out of someone else (clicking/tapping it repeatedly)
keep track of things (tallies, score)
keep focus (by clicking/tapping)
keep a beat
stab someone
pick your nose
","gain students' attention during a high school assembly
project your voice during a protest
police officer trying to get someone's attention
throw it at someone
yell in someone's ear if they're pissing you off
guards can use it during an emergency when everyone's running around panicked
stress relief: smash it somehow
stress relief: yell into the darkness of night
make yourself look authoritative",501.4823
"3k8j8qzbxah5","Write
Draw
push button
make holes
mustache on face
Jiggly Puff impersonation
dick joke
make a bun in your hair
scratch your back
use to make scroll of paper by wrapping around
make ink puddle
take apart to satisfy curiosity
clench in mouth during painful bandage removal
graffiti
body art
lip color
clicking noise for fun, thumb exercise
","coach a team
make an announcement
pretend the police are coming if it has that button
calm a crowd
annoy friends
annoy strangers
declare undying love to/from a balcony
destroy eardrums
gift to your coach
train animals in psych experiment
",425.076400000001
"4knbxr1j9r0w","Writing
Tracing an outline
Drawing
Reaching into a narrow crevice
Bookmark
Hair tie/hair holder
Coloring
Straight edge
Fake moustache
","Amplify your voice
Throw as a projectile
Use as a lever to open something
Use to block the sun from your eyes
Prop for a character in a movie/play
Sound source in a science experiment
Voice changer (to change identity)",316.575075
"fk8yjoees187","To write anything.
Make a hole in something.
Throw it at someone or something.
Prop open a door or window.
Use as a paperweight.
Prop under an uneven chair.
To unscrew a nail.
To break the lid of a water bottle.
To hold up your hair.
To lure a bug onto it.
To put through two nearby handles (to lock the doors).
To click, as a way to fidget.
To use as something to push your feet into your shoes, to put on a tight pair of shoes.","Speak to a large crowd.
Direct traffic.
Direct a group of people (as in a movie or show).
You might use it as a movie prop.
They can use it in place of a microphone.
They can use the batteries for another object.
They can use it as a paperweight.
",362.131599999964
"h2uguxo3f15k","writing
twirling
biting
drawing
doodling 
throwing
playing
holding a spot in a book 
","talking 
screaming
getting people's attention 
giving out important information 
organizing a crowd 
being heard over a lot of noise 
throwing 
announcing 
",334.592700000008
"n83yfzpk5d95","write
read
draw
story
essay
grade
ear
sketch
outline
mark
grade
cross
x
tap
bit
bite
twirl
lapel
jot down
scribble
shade
color in
fill in
","speaker
scream
yell
talk
banter
get attention
hellooo
crowd
be annoying
be obnoxious
sos
alert
warning
hurricane warning
thunderstorm warning
locdown
lockdown
school lockdown
",768.5124
"v0wlo1vbdrvr","writing on paper
writing on an iPad
pointing to something
getting an object out that is stuck under something
","speak loudly to a crowd
sing a song very loudly
speak to someone who can't hear well
speak at a political rally
tell people to get in line
",419.587400000077
"adh7by1744ki","write with it
draw with it
use as moustache and balance above mouth
balance on top of head
juggle with it
hit people with it
use it as a twirling baton
use it as a ball and play catch with your dog
toss it back and forth with your friend
play pen basketball and toss it into a trash can or something
break it in half and use as a chopstick
combine with something else and use it as a pair of chopsticks
put it on your ear
put it through your hair
use as christmas tree ornament 
use as massage roller and roll on your foot
use as back massager
use as back scratcher
use as drum sticks
roll it along a floor
play mini bowling
see how far you can roll it
use as golf club with super mini golf
use as earring
clip to your shirt
clip to a book","shout in it
use to project your voice
use in front of a rally
use to get people's attentions
use as a prop in a play
use as a strange hat
use as a stylistic ornament
wrap around your finger and swing it around
use as a juggling object
could technically use it as a weapon and hit people with it but that wouldn't be great
use to amplify your music
use as singing microphone
try to sit on it and use it as a terrible chair
pretend it's a hair dryer
use it to hit a pinata
use it as a drum and hit various areas on the surface
use it as the base for a piece of artwork and draw/paint all over it
wrap it up and gift it
turn it into a sculpture
turn into a christmas tree ornament",323.605300000003
"rx9qm0tytmgv","do homework
write a story 
lick it
taste it
draw 
write on your skin
make someone a card
sell it
break it
hit someone with it 
","speak into it
hit someone with it
sing 
scream
scare someone with it, put it up close to someone's ear and then scream into it
break it and then rebuild it
take it apart
",328.6413
"h9nwvyegtku5","to write
to throw at someone
to poke a hole
to sell online
to study as an artifact
to use as a fake mustache 
to label boxes
to use as a mini cane for action figures
","yell at people
direct a crowd
give an open-air sermon
talk to god
talk to a person who is hard of hearing
hit someone
throw at window
study sound attenuation and amplification 
use as a model for a drawing
",343.460200000001
