"ID","trial","word1","word2","response"
"zgtrcecvauk4","1","creative","devastated","They made a great piece of art, but it got ruined.
They came up with a cool way to fix something that was broken but it doesn't look the same as before.
They made something, but someone told them it was bad.
They had a good idea that didn't work.


"
"hjr8vpd7fapz","1","mellow","anxious","Start thinking about all the work they have to do
Thinking about all the things that could go wrong
Over analyzing a situation
Over analyzing something someone said
Thinking about all the things they are uncertain about

"
"xbnmcc5pxceu","1","accomplished","sad","You can reflect on how much farther you have to go
You can think about how long it took you
You can see the goals you still need to meet
You can feel as though there is nothing left to do now that you are done
You could have not received the praise you expected
You could envy someone else's better accomplishment
You could be proud you finished the season/task is but sorry to leave"
"3kofmh9dg9xx","1","calm","cheerful","they can find friends to hang out with
they can do an activity
they can exercise
they can watch a sitcom
"
"f8jryrdfkdx2","1","cheerful","tired","do an exhausting activity
try to cheer someone else up
realize that they haven't rested for a while
reminded of how much work they have to do
reminded of the problems they have
reminded of how much they havent accomplished "
"nbd4iho7n72m","1","good","sleepy","Go to Princeton University and have PSets every single day
Stay up watching movies
Stay up reading a gripping book
Go for a long run until exhausted
Eat a very large meal
"
"63szpj5u8o2i","1","drained","sick","think about what it's like to feel ill
"
"ia9y1d0x3x7t","1","calm","anxious","Think about impending assignments/projects
Think about my grades
Think about my summer internship plans
Think about my upcoming test
Look at an assignment I got back"
"1ply70vxn292","1",NA,NA,NA
"mtmb7nh1k07f","1","amused","calm","Take deep breaths "
"0wk103kezs00","1",NA,NA,NA
"hr053hyuwem6","1","okay","annoyed","Really reflect on the way that even though it's okay, it should be better.
Let their incessant little brother get under their skin.
Purposefully start a conversation with someone they really don't agree with.
Turn on the news
Look up what is going on in the rest of the world.
Try to beat a level of a game that you haven't been able to pass after many many tries.
Read an article that is not reviewed and very biased."
"a148vh04a7ry","1",NA,NA,NA
"6wx67twfnuox","1","content","excited","Realize how lucky they are to be feeling content, and that they should be excited about that
Find the reason they are feeling content, and be excited that is is going to continue 
Try to change their attitude towards the things that only make them content, realizing how lucky they are to have them 
"
"656xmu29mv16","1","awake","exhausted","run
take some nyquil
eat a lot of heavy food
wrap yourself in a blanket
get cozy on the couch
"
"h05dt9u04ag6","1","blank","amused","Find things that you like to do
occupy your time
focus more on things
Engage in activities
move your body instead of staying still
get them involved in whatever is going on
give them special, personal attention"
"aqgoay2w4h2m","1","annoyed","bored","focus on the task at hand and how badly they want it to end
mention their annoyance to someone an elder and listen to a boring response the elder gives them
"
"barb4qdxq6t1","1","content","happy","They can take their free time after finishing tasks and watch/listen to their favorite media
They can start volunteering in their spare time to better the community
They can decide to go on a vacation instead of a stay-cation on their time off work
They could watch funny baby animal videos in their free time
They can implement a daily regiment of working out in their life to boost energy"
"3y4g82qrfzgu","1","annoyed","tired","stop doing the thing that is annoying them and:
exercise
watch movies until late
lie down
eat food
go to a party

this is a weird question."
"rzv8pux6l1g8","1","blah","tired","They could listen to calming music.
They could meditate.
They could take a sleeping pill."
"u27jmgu8s0ev","1","worried","relieved","Talk to a friend to get advice on the situation
Google their problem to find stories similar to their own and see how those people solved their problems
Make a pros and cons list to evaluate the problem effectively
Meet with someone who knows about their problem and see what strategies they suggest
Talk to a friend who wouldn't mind helping them with their situation
Think deeply about the situation until their able to come up with a situation"
"3n6trc3kljyo","1","accomplished","awake","I am not sure what the sentiment of being ""awake"" means, sorry 
N/A"
"sprnfuwnq7ac","1","annoyed","alive","exercise
relieve stress
think about how to resolve their annoyance
do something with an adrenaline rush
have an adventure
talk with friends
"
"pia8uidyh0xh","1","contemplative","determined","Setting actionable and achievable goals so the task doesn't seem as daunting.
Seeking the encouragement and support of family and friends for the endeavor.
Weighing the pros and cons of deciding to do something.
"
"ed8h9v6yer07","1","blah","chill","Listen to Music 
Make tea or hot cocoa
Call a friend to hang out and watch a movie 
Read a book 
Meditate 
Do yoga 
Go to the gym 
Do something they are passionate about 
Cook a new recipe 
Paint
Throw Ceramics 
Talk to their friends about their potential issues 
"
"xh3pjt4r5nf2","1","alive","annoyed","Think of how unfair it is that most people don't feel that alive.
Think of all the corruption in the world.
Think of all the inequality in the world.
Think of how jealous your friends are of you for feeling this way instead of being happy for you.
Understand that this feeling will probably not last and that sucks.
"
"hf2atxzwe00u","1","sleepy","amused","watch a funny movie
talk about funny stories with friends
play with pets
"
"zc266gk0nt5f","1",NA,NA,NA
"iat3flfmgzl6","1","blah","chill","They can meditate
They can do yoga
They can go on a run to clear their head
They can listen to relaxing music
They can watch netflix
They can hangout with friends
They can think about something that they are looking forward to in the future
They can read a book
They can sit on the beach and watch the waves
They can go for a long drive
They can take a stroll
They can eat frozen yogurt
They can call their mom or dad
They can take a nap "
"pfi2dt661qbd","1","sad","upset","They can think about other negative events in their life
They can think about what's going wrong
They can have an argument with someone
They can talk to someone who won't try to understand their feelings
They can allow the sadness to consume them
They can reflect on how other people don't feel as sad about the same things they're feeling sad about"
"6i5ue4jm9v39","1","anxious","sad","Thinking about what happens when the things they're anxious about come true.
Allowing their anxiety to make them isolate themselves.
Allowing their anxiety to get in the way of their productivity, leading to failure to complete tasks.
"
"y84228e2pmvp","1","lonely","confused","They were just broken up with
They just got in a fight with their best friend 
"
"j4zhqovyxicy","1","bored","calm","Think about when this person will no longer be bored
Take a nap
Read a book
Lie down
Look at the sky
Watch other people in a rush

"
"u498l95or7np","1","emotional","tearful","they keep thinking of the thing that's making them emmotional
either feel extremely happy or extremely sad
feeling really thankful and loved and someone just did something really nice for you
"
"7wua7gopt4k8","1","bored","depressed","they hear about bad news
they lose their job at work
they become disillusioned with their work
they lose something important to them
plans get cancelled frequently
they can't find anything they enjoy
they can't find anyone to hang out with
they lose interest in something they enjoy
"
"9pa7mfd4rubz","1","worried","relieved","They can try to see what can go right rather than wrong.
"
"hl0jpyfe02sw","1","sad","cheerful","They can turn to their faith
They can talk to family and be reassured by them
They can do something out of their comfort zone
They can do something that makes them forget what made them sad in the first place
They can do something so aggressive that it makes them happy and on top of things rather than sad
They start caring more for themselves before they think about other people
They might stop thinking about the present and just ignore what made them sad to begin with
They might go outside and sit alone while they watch the sun, until they feel alone and happy that everyone else in the world has disappeared along with their troubles
They might believe they are close to death
"
"eeukrcggxx3o","1","confused","calm","They can write down their confusing thoughts in a methodical way
They can talk to a friend who can help them sort through their confusion
They can do something which calms them down, such as listen to music, read a book or exercise
They can simply think through whatever the problem is in their head, and come up with a few ways to solve it
"
"j2x2vhg83u9h","1","blah","bored","they can lie in bed and look at the ceiling
they can refused to talk to anyone
they can turn off the tv and hide all books
they can blindfold themselves 
they can disconnect the Wifi
they can go outside and dig themselves a hole to sit in away from society 
they can count to 100,000 in their head
they can count sheep
they can cut their phone lines
they can look at themselves in the mirror for an hour
they can count the number of hairs on their head
they can bite their nails
"
"p5u9r9m1uh0b","1","awake","sleepy","Meditating
Listening to slow music
Take sleep-inducing drugs
Read a book
Watch a movie
Exercise
Take a nap and wake up groggy and more tired
Think of sleepy words/feelings
Spend the whole day on their feet
Drive for extended periods of time
Take enough flights to get jet lagged
Eat a lot 
Go from a light room to a dark room
Sit down
Lay down
Get comfortable
"
"bq16gvcq7u48","1","bored","awake","They can drink coffee
Go for a run
Have a talk with friends
Eat some food
Focus on all of the exciting things coming up
Read a book
Take a shower
Read the news
allocate 10 minutes to do something unrelated to task at hand
Focus on the benefits of the upcoming project
Reaffirm one's purpose 
Go for a walk"
"agge90qqyjhj","1","blah","amused","They can watch a comedy 
They can talk on the phone with a funny friend
They can consider the foibles of chance
They can go to a bar and people-watch
They can watch squirrels/pigeons 
They can watch videos of funny animals 
They can listen to stand-up
They can read a funny book
They can read an old diary
They can think of the time they laughed the most
They can think of the most foolish thing they've ever done"
"5o9ptvrbynfu","1","feisty","mischievous","they could plan the destruction of an enemy or a friend
they could pull a prank on a relative
they could flirt with someone they have no interest in
they could cheat on a paper/test
they could embezzle money from a company
they could cheat at poker or cards
 "
"tue9ikgul5zq","1","sleepy","alive","they can drink coffee
they can think about an ambition
they can think about all the stuff they have to do
they can think about all they have to look forward to
they can watch a motivational video
they can use self talk
they can think about future goals
they can think about their next steps
they can think about a fun time they had
they can go to a party
they can listen to loud music
"
"umuss3ln1x8v","1","blah","bored","Look at the ceiling
Sleep
Daydream
Think of work to do
Open up a book and pretend to read
Read
Scroll through SNS
Try to study for a boring class
Think of what to do tomorrow
"
"0qxabjy7ujod","1","contemplative","amused","Read a joke book.
Distract themselves.
Hang out with friends. 
Watch a romcom.
"
"kwt35vcdmbod","1","okay","annoyed","Think about the worst things that happened to them that week.
Try to complete impossible tasks.
Keep trying to get a toy from a claw arcade game after failing.
Start a fight with your friend."
"00x2emqtotyd","1","anxious","excited","Change their thinking as this as an opportunity either way. More of a growth mindset rather than a fixed mindset because either way they will get something good out of it. Either as motivation or they will succeed in whatever event they are anxious about.

You can look at all the work you have done in the past that will lead to your success"
"dvornclgd0aq","1","depressed","okay","Ask for friends for help to talk through the feelings that are causing the depression
distracting yourself from the depressed state with happy videos
watching sad videos to cry out and relieve some of the emotional tension and stresses
"
"siggsyvh7xo1","1","depressed","calm","They can take a nap 
They can call a friend 
They can physically talk to a friend
They can eat favorite food 
They can distract themselves with homework 
They can daydream 
They can journal 
They can listen to happy music 
They can play the piano 
They can make exciting plans for future  "
"vi9q7fothzy9","1","annoyed","blank","They can sleep
 they can contemplate things
 they can sit outside
 they can take a walk
 they can listen to music
 they can watch television or a movie
 they could lie down
 they could read a book or a magazine
They could play video games or games on their phone
They could go on social media sites like Facebook or Snapchat
"
"wolvnbj3iu83","1","depressed","sleepy","take sleep medication (rx or otc)
listen to calming music
create a calming environment (e.g. dim lighting, eliminate unwanted noise)
if the depressed mood has a cause, attempt to alleviate it because the mood may be keeping the person awake"
"wkys7wy9il7c","1","awake","blah","They can think about how early they have to wake up tomorrow.
They can remember how little sleep they've gotten this week.
They can stop drinking coffee.
They can do a boring task that they do not enjoy.
They can focus on negative things and worry about the future.
They can talk to a pessimistic person."
"mwmkmapelpgo","1","flirty","hot","They can gain confidence by drinking alcohol
They can seek validation through social media platforms
They can flirt with members of their preferred sex
Dress in clothes that make them feel hot
"
