"ID","trial","word1","word2","response"
"zgtrcecvauk4","1","anxious","brother","they can tell them that they love them no matter what
they can tell them that what they are anxious about is unimportant
they can distract them
they can help them prepare for whatever they are anxious about
"
"hjr8vpd7fapz","1","temperamental","brother","Tell them to calm down
Do breathing exercises together
Make them a soothing cup of tea
Tell them to think things through before making rash decisions"
"xbnmcc5pxceu","1","worried","sister","The sister can remind you of all the times you made it through the concern
The sister can just listen to your concerns and be there
The sister can give you advice given that she knows you
The sister can comfort and encourage you with affirmations
The sister can enlist help from the family to alleviate the problem"
"3kofmh9dg9xx","1","touchy","mother","she can just listen
she can address the cause of their irritableness
she can distract them with food
she can remind them of good things
"
"f8jryrdfkdx2","1","temperamental","mother","if she criticizes
if she insults you
if she insults others
if she is insensitive
if she embarrasses you
if she embarrasses others
if she doesn't listen
if she asks too much "
"nbd4iho7n72m","1","aggravated","blah","They have a stressful deadline soon
They are tired but still need to make a decision
They have just been in an argument with a close friend
A neighbour is playing loud music, and keeping them awake

"
"63szpj5u8o2i","1","drained","sick","They might feel exhausted mentally
they might be tired of being so mentally incapacitated"
"ia9y1d0x3x7t","1","drained","tired","They might feel discouraged and unhappy
They may be irritable
They may want to withdraw themselves from others
They might feel unmotivated
They might be frustrated
They may want to be left alone"
"1ply70vxn292","1",NA,NA,NA
"mtmb7nh1k07f","1","drained","exhausted","They have a lot of work to do. 
They are physically and mentally tired. 
They may be sleepy and/or do not want to deal with anyone or anything. 

"
"0wk103kezs00","1",NA,NA,NA
"hr053hyuwem6","1","blessed","loved","They feel accepted by their family and fortunate for who is in their life.
They have just left church and no longer feel alone.
They are feeling like someone cares about them and that they are lucky to have someone like that in their lives.
They have realized that after a long time of being down, they have a lot to be happy about and become emotional
They have just recently seen something that they really cared about almost lost to them so they now feel very appreciat"
"a148vh04a7ry","1",NA,NA,NA
"6wx67twfnuox","1","alive","calm","They are very happy with their position in life, so they feel alive but are secure
They know they are exactly where they should be in life and are there
they are working towards something they really want, and know it is the right choice
"
"656xmu29mv16","1","excited","sleepy","They might be in love and staying up late thinking about the other person
They might have a big day ahead of them tomorrow
They may have stayed up late watching their football team win it in overtime
"
"h05dt9u04ag6","1","blah","calm","They feel bored
They feel content
They are unamazed by anything
They are not worried
They are neither happy nor dissatisfied with their current situation
"
"aqgoay2w4h2m","1","bored","tired","they didn't get much sleep, but have to attend the event they are currently at
they don't enjoy what they are doing and would rather sleep
"
"barb4qdxq6t1","1","bored","excited","They are waiting in a long line for their favorite musician
They are waiting through classes on the last day before summer vacation
They are waiting in classes on the last day before any vacation
They are waiting for their friend to pick them up to hangout
They are waiting for their parent or guardian to finish making their favorite meal
They are waiting for the store to open so they can go buy something
"
"3y4g82qrfzgu","1","blank","depressed","they just experienced an unbelievable tragedy (like the loss of a loved one) and are in shock
they are sad and drunk
they were just broken up with
they are about to die a slow death and have accepted their fate
caught in an avalanche


"
"rzv8pux6l1g8","1","annoyed","okay","Someone might be feeling really irritated by something, but physically okay. 
Someone might be feeling irritated that they aren't in a better position and are only feeling ""okay"". 
Someone could be physically annoyed by a bug or something, but emotionally okay. "
"u27jmgu8s0ev","1","calm","relaxed","Things have been going well for them in life, they have no worries for the future
They are not thinking about their responsibilities and are focusing on the present moment
This person is extremely well balanced emotionally
Perhaps they are engaging in a meditation technique and are emptying their mind of other distractions
This person has just received good news about something they are worried about, they are relieved
They are telling themselves to take a mental break and not focus on anything else"
"3n6trc3kljyo","1","busy","chill","Their life is pretty nice
It is nice to be occupied without stress
lack of challenge
boredom and automatic
static
lack of excitement
content
assertive"
"sprnfuwnq7ac","1","loved","worried","they are worried about the future of relationship
they are worried about a problem in their relationship
they see conflict within the relationship
they are worried about their partner's actions
they don't know whether to continue the relationship

"
"pia8uidyh0xh","1","blah","excited","Physically they feel tired, but are excited about later events in the day or week.
Feeling kind of tired in the present, but optimistic that it can get better from here on out.
They're stressed about some big event (like a wedding) so the planning is tiring, but excited about the end result of it all."
"ed8h9v6yer07","1","bored","lonely","They feel like they have nothing to do and no one to talk to 
They feel as if no one is available to hang out with them and they don't have better things to do 
They feel isolated
They are tired of putting more energy into relationships than others and so no longer do, but are inherently bored and alone
They are depressed (no one likes feeling alone) 
They feel like if they needed someone, they'd have no one to go to for help 
"
"xh3pjt4r5nf2","1","drained","tired","Can't handle everything going on at once.
Wants to sleep for a week.
Needs a break desperately.
Has kept a lot to themselves.
Doesn't know whom to turn to."
"hf2atxzwe00u","1","good","okay","they did well on a test but not as well as they thought they did
nothing is exciting is going on in their lives but nothing bad is going on either
"
"zc266gk0nt5f","1",NA,NA,NA
"iat3flfmgzl6","1","hopeful","lonely","They feel as though they have no friends, but are anticipating that they will find a best friend
They feel like they will find someone to spend time with
They are friendless now, but believe that it will change in the future
They are optimistic about the future, despite the present
They are understanding of their current situation"
"pfi2dt661qbd","1","feisty","mischievous","They might feel rules don't apply to them
They might feel adrenaline from doing something mischievous
They might feel confused about showing true intentions

"
"6i5ue4jm9v39","1","hopeful","lonely","They just got out of an unhealthy relationship.
They just received a new job position in a new city.
They feel impatient.
"
"y84228e2pmvp","1","amused","calm","They are watching a funny TV show
They are at a play or musical 
They are at dinner with friends"
"j4zhqovyxicy","1","anxious","confused","Person is feeling stressed
Person is uncertain about the source of their anxiety
Person is confused as to how to proceed
Person is attempting to write a D3
Person is feeling weak
Person is feeling out of control
Person is feeling panic
Person is feeling worried
Person is feeling under pressure
Person is in need of a friend or help
Person is in a daze"
"u498l95or7np","1","anxious","exhausted","they are anxious about something in the future
they are tired of thinking about the thing that is making them anxious
ready to give up
worried about something that may happen
really tired
they may still be trying to get to or achieve something that they are anxious about, but still exhausted from it"
"7wua7gopt4k8","1","awake","cheerful","they feel excited
they feel invigorated
they feel alive
they feel privileged and blessed
they are happy with the world/their lives
they are happy
they are engaged
they are doing something they love
"
