"ID","trial","word1","word2","response"
"zgtrcecvauk4","1","thankful","naughty","They were really bad, but someone forgave them.
Santa didn't bring them coal.
They are thankful to have a friend who will do naughty things with them.
They are thankful to have not been caught for something bad they did.
Thankful for thanksgiving meal but cheating on their diet."
"hjr8vpd7fapz","1","artistic","mischievous","Choreographing an edgy dance
Being crafty in planning a surprise for someone
Planning the perfect fake-out in a sport
Sneaking out onto the roof of a building to take artsy pictures
"
"xbnmcc5pxceu","1","lonely","sick","You have juts experienced heartbreak
You learned a loved one is going to be deployed
Your best friend is moving away
You had a family member pass away
You contracted an illness and are hospitalized
You are depressed and isolate yourself, neglecting your health
You are on a long journey
You are travelling alone
You just started college and feel homesick"
"3kofmh9dg9xx","1","aggravated","disappointed","they worked really hard on a task but someone else in the group messed it up
they did badly on a test and were looking forward to a good rest but they needed to help a friend
they spent a long time making food but it turned out badly
they were hoping their significant other had finally changed but he/she didn't"
"f8jryrdfkdx2","1","emotional","chill","watching an emotional movie that ends a satisfying way
watching an emotional movie (watching a movie is relaxing in itself)
nothing to stress about but you are sad
substitute first answers ""movie"" with tv show, book
listening to music that makes you feel something
"
"nbd4iho7n72m","1","angry","depressed","Their partner has just cheated on them
They have failed a test, and blame themselves
A friend failed to show up to an event with them"
"63szpj5u8o2i","1","anxious","hopeful","they are worried about the outcome of a future event but know that it could be positive as well as negative
"
"ia9y1d0x3x7t","1","excited","naughty","They played a prank on someone
They know that they will be getting laid soon after a dry spell
They watched someone get tricked by them
They achieved something but by breaking the rules"
"1ply70vxn292","1","depressed","sleepy","Their grades are not good and they just pulled another all-nighter
They are eating an early breakfast alone
They are drunk because of something
They have stayed up late contemplating a very hard topic
They stayed at their friend's hospital bedside all night, but the prognosis isn't good
They just returned from a round of chemo
They didn't sleep well prior to an immediate family member's funeral

"
"mtmb7nh1k07f","1","bored","busy","They have a lot of work to do but do not like the work they have to do.
They have ""busy work"" to do at school or work.
They have to build up to the tasks they like by doing the boring stuff first. "
"0wk103kezs00","1",NA,NA,NA
"hr053hyuwem6","1","annoyed","calm","The person just sat down after a long day and they turn the tv on but it's on a commercial.
The person got a question wrong on a test, but it was the only question they messed up and they knew the right answer.
A person is working at their desk when they notice their phone is almost dead and the charger is just outside of their reach"
"a148vh04a7ry","1",NA,NA,NA
"6wx67twfnuox","1","upset","worried","A close friend is going through a really tough time, and they do not know how it will turn out
they are unsure about their position in life, and do not see a way out
a close member of their family died and now their family is really struggling
their parents are getting a divorce 
they are not happy in their relationship, and do not know how to fix it"
"656xmu29mv16","1","anxious","sad","they received bad news
someone they care about died
they don't know what their next move will be
they have no one to turn to
"
"h05dt9u04ag6","1","okay","sad","They did well on one assessment and not great on another
They were above the class average but barely, and it was still a midrange grade
A crush started dating someone but you also just got asked out by someone else
A friend is moving away but coming back to visit in a month
Your friends are upset, but you personally are not
You ran out of your favorite snack you were looking forward too, but you have a substitute around
"
"aqgoay2w4h2m","1","upset","worried","they lost their job, and don't know how to continue paying bills/child's needs
a family member/close friend dies and they are worried about breaking the news to others
they did poorly on a test and worry they won't get into med school/grad school/etc
they didn't get the job they wanted and worry no job will want them
they didn't get into early decision school and worry no one will accept them
they got hurt and don't know how they'll pay for help
their partner dumped them and they worry "
"barb4qdxq6t1","1","annoyed","blah","They have just finished a large meal and wish to relax but someone keeps trying to speak with them
There is poor weather outside yet someone continues to insist on going out to play
They had a below average day at work and now come home to a messy, nosy house
They had a long day and wish to rest but their children/family is annoying them"
"3y4g82qrfzgu","1","blah","bored","these are the same thing, in my opinion.

Try to learn a new skill! Find something cool to learn on youtube.
Suggestions:
card tricks
juggling


exercise
go for a run
hang out with friends

basically, do something. Stop sitting around feeling bored"
"rzv8pux6l1g8","1","disappointed","hopeful","They may have just gotten rejected from a school, but are still waiting to hear back from others.
They may have gone on a bad date, but have another lined up.
They may have received a bad mark on a text, but are hopeful that they can improve for the next one. "
"u27jmgu8s0ev","1","calm","contemplative","They have been posed with an interesting problem for which their is no penalty for a wrong answer. They carefully consider it.
Their best friend's birthday is coming up. Since they know them well they aren't worried, and think about this gift deeply
A person has just been offered a job and is considering where they want to relocate. 
After getting into a dispute with a friend and discussing the situation with a sibling, the person feels calm, but is still unsure about what to do
A person is going to hang out with a friend over the weekend and needs to decide on a movie to watch
In a book store, a person carefully considers what book to choose"
"3n6trc3kljyo","1","depressed","happy","they suffer from depression but understand that something that should make them happy just happened 
something good just happened after something very bad just happened and it lifted up their spirits a little
contentment through acceptance of something sad/bad
dichotomy between a bad even and a simultan"
"sprnfuwnq7ac","1","calm","excited","they are anticipating a certain future event that has not yet occurred
they are doing something fun/positive but has done it before so they feel more comfortable and calm
they are excited for something but they feel supported so they are more calm
they are not too worried about the outcome of a certain event so they feel calm
"
"pia8uidyh0xh","1","blah","sad","They didn't do as well on a test as they thought they would have, and they had studied a lot.
They are not sure how someone they like feels about them.
They lost a pet.
They don't have any motivation to do work.
Someone said something hurtful toward them.
They feel inadequate in their abilities.
"
"ed8h9v6yer07","1","anxious","tired","They have had a lot of homework and have tests coming up but they are behind in their studies 
Their friend has been partaking in unhealthy lifestyle choices (is addicted to drugs or alcohol) and they are concerned 
Their parents are going through a divorce and have been fighting very aggressively into the night 
They haven't been doing very well at their job and in attempt to do better are staying up late to do additional work
Their friends haven't been speaking with them and they feel alone which inspires insomnia 
They haven't been able to work up an appetite or escape their binge eating cycle regardless of what they try "
"xh3pjt4r5nf2","1","accomplished","awake","Finished their tasks for the day early.
Did a lot of work the night before.
Completed several small, effortless tasks.
Received good news early in the day."
"hf2atxzwe00u","1","sick","tired","they are sick
they didn't get enough sleep the previous night
they are upset about something bad that keeps happening again and again
"
"zc266gk0nt5f","1",NA,NA,NA
"iat3flfmgzl6","1","contemplative","hopeful","The person just got offered a job that pays well but is in a questionable location
The person just got invited to a formal but is not sure if she is busy that day or not
The person just got invited to go on a cruise with a stranger
The doctor said that there is good news and bad news
"
"pfi2dt661qbd","1","alive","awake","They have gotten out of bed and feel like today will be another great day
They are excited about current opportunities
They are in touch with their surroundings
They are open to listening to their friends and actively offering help
They appreciate what they currently have in their life and want to be a positive force
They have had a rush of excitement from doing well on something
They feel motivated to exercise after getting back into it
They are doing well at work
They have just quit their job to pursue something more important to them"
"6i5ue4jm9v39","1","contemplative","determined","They discovered a new opportunity they can apply for.
They just turned over their test.
They're plotting something.
They've seen someone they think is cute and want to approach them.
They are learning about world issues and want to help.
They learn that someone close to them has never done or experienced something and want to help them.
They realize they could benefit from serious lifestyle changes."
"y84228e2pmvp","1","bored","tired","They have been watching TV all day and didn't sleep much last night
They are sitting in lecture and the lights are dimmed
"
"j4zhqovyxicy","1","hot","naughty","They are well-dressed in a club
They are getting sexual attention from people they find attractive
They are under the influence of alcohol
They are feeling adventurous 
They have heightened libido
"
"u498l95or7np","1","annoyed","okay","one of their friends may have said something slightly offensive but you are not too hurt by it
you are annoyed you have a lot of work but feel like you can handle it
"
"7wua7gopt4k8","1","awake","bored","they have nothing to do
plans got cancelled
they are unhappy with their plans
they are not looking forward to the day's events
they are in a boring class/activity/meeting
they don't like what they're doing
they find what they're doing uninteresting
they have more exciting plans later on
there is an uninteresting speech
there are no customers/patients
"
"9pa7mfd4rubz","1","calm","excited","This person was promoted, but this person is in a professional scene where outbursts of joy are taboo.
This person completed a task with success but understands that there are obstacles ahead that require focus.
This person probably has a relaxed personality."
"hl0jpyfe02sw","1","upset","worried","Their loved one did something morally irresponsible and this person is worried for their wellbeing
Their girlfriend cheated and now they wonder if they have an STD
They got someone other than their wife pregnant and do not think they can pay for the child's upbringing
They committed a crime and now know they might get caught
They did something very bad, like killing someone, and they doubted the mercy of God and believed they were going to Hell
They lost something very important to them and recognize they will need it in the future
Their parents div"
"eeukrcggxx3o","1","alive","amused","They are excited and in a good mood, and someone said something funny 
They are exercising and see something that amuses them
Things went better than expected for them, and they are reflecting on their previous pessimism with a sense of self-mockery
"
"j2x2vhg83u9h","1","cheerful","content","they have succeeded in losing weight
someone complimented a necklace they made themselves 
someone told them they have done a good job
they got a good grade on a test
they are back home for Thanksgiving break
their mother makes their favorite childhood food
they won a race they had a feeling they would win
the weather is nice 
they got a new haircut that they like 
they tried on a pair of pants that used to be too small and now they fit because they have lost weight
they just looked at their reflection in a store window and are satisfied with it
they see a cute dog
they are holding a happy baby"
"p5u9r9m1uh0b","1","awake","blank","They just woke up in the middle of a lecture to their professor asking them a question
Were jolted awake by a fire alarm
Just woke up from sleeping and don't have a lot going on mentally
They used a lot of drugs the night before and their brain isn't operating very well
Being yelled at and not having a response
Being criticized and unsure of how to handle it
Watching t.v. and not being very mentally stimulated 
Doing something extremely menial and boring
Are purposely trying to clear their head"
"bq16gvcq7u48","1","exhausted","sick","They have been coming down with a cold but have been pushing through
they have a lot of work and have ignored the oncoming cold
They have been working with other people who are sick and not letting that affect their performance
They have exposed themselves to a new situation and worked quite long hours in doing so
They haven't gotten a good night's rest in a while and that has weakened their immune system
They have not been eating properly and not been taking care of their emotional/physical wellbeing
"
"agge90qqyjhj","1","relaxed","sleepy","After a long day outside playing, getting ready for bed. 
Sitting by the fire, watching the flames. 
In a hypnotist's chair. 
Sipping tea late at night. 
Staying up late talking with a good friend. 
Getting a gentle massage. 
"
"5o9ptvrbynfu","1","calm","depressed","they've felt depressed for a while and have gotten used to it
they've accepted the death of a loved one, but still sad about it
they went throw a really bad break up, but finally got closure
"
