"ID","trial","word1","word2","response"
"6qyjh03w1tmc","1","blah","cheerful","Do a stimulating, fun activity
Think of fun times you've had
Hang out with friends
Go for a walk
Go to a random store
Eat food
Watch a movie, especially comedy
Browse the internet
Go hang out with a friend
Call a friend
Call your family
Take a nap
Go outside and look at nature
Do a fun activity you have always enjoyed
Take medicine if you are sick
Read comic books
Drink water if you are dehydrated
Meet new people
"
"fotw2whals6q","1","good","okay","Have an unsatisfactory experience
Get an average score on a test
Get assigned a lot of work
Have an awkward social interaction"
"gcdusdxn3ajb","1","content","excited","They can see what cool events are near them
They can go shopping and find great new outfits
They can get laid
They can find drugs
They can go to a party
They can stumble across a great coupon
They can chat with friends
They can finish their assignments and realise they have the rest of the night free
"
"52lgz188nf0d","1","aggravated","bored","They should stare at a wall and forget everything else. 
Take deep breaths and clear their heads. 
They should listen to music that they think it boring. 
They should think of someone they think is boring and remember a time when that boring person talked to them about something and they didn't want to hear it. 
"
"04zjrf3wqi2y","1","blank","calm","try to relax themselves, i.e. go to a spa
try to talk to someone about it
"
"yck6zmx99kea","1",NA,NA,NA
"b1drxu77qajo","1","flirty","naughty","They could make a more direct suggestion to the person they're flirting with
If they're already in a relationship they could contact that person and ask to meet up
They could go on Tinder and message a lot of people at once
They could vandalize something with their date"
"lksv5911ze2i","1","sleepy","lonely","They could drink caffeine to wake up and then not hang up with friends
They could start thinking about all the times they have been alone in life
"
"c2w3kbv6zxen","1","busy","relaxed","divide up their time wisely to make smaller more tackle-able tasks
breathing exercises / meditation
focus on self care instead of doing the work
look forward to when the work is done
cuddle with a s/o
platonic cuddling
hug a loved one
vent to a friend or s/o
scream into a pillow or the darkness of night
dance
take a break and watch a movie
take a break and eat a really good snack
make a list of the things that are making you busy. perhaps the size will be smaller than you thought in your head. it's also satisfying crossing things off
smoke weed
take a pill
sleep
exercise (apparently endorphi"
"3k8j8qzbxah5","1","aggravated","angry","They can focus their aggravation on a particular person/thing to blame.
They can listen to angry punk music while thinking about the aggravating thing.
They can punch/kickbox a punching bag.
They can try alcohol."
"4knbxr1j9r0w","1","okay","sick","They can neglect their health (by eating poor food, not hydrating, etc)
They might concentrate on remembering times in the past when they have felt sick
They might think about topics that cause them anxiety or distress
They might surround themselves with people that drain their energy and leave them distressed
They could intentionally eat food they know themselves to be allergic to
They could expose themselves to viruses or pathogens (by spending time near sick friends)"
