"ID","trial","word1","word2","response"
"6qyjh03w1tmc","1","bored","calm","They might have gotten all their work done
They might be on vacation
They might be at home alone
They might be at a family member's house during the holidays
They might be in class
They might be walking somewhere
They might be waiting for transportation
They might be doing an assignment they don't want to do or aren't interested in
They might be watching a movie they don't like
They might be at dinner with someone they don't find interesting
They might be riding transportation
They might be driving
They might be trying to fall asleep
"
"fotw2whals6q","1","happy","tired","Had a great experience that lasted all day
Partied all night
Was so excited they didn't sleep"
"gcdusdxn3ajb","1","hungry","okay","They just want food but everything else in their life is pretty good
They're cooking dinner and the smells are making them hungry
They got high
They're pregnant and have cravings
They're saving space for a massive Thanksgiving meal
"
"52lgz188nf0d","1","okay","sick","That person is still able to function and think, and their sickness is something small, on the sideline of their other things in life. 
Has been dealing with this chronic sickness for a long time, know how to tolerate it and continue living their lives in an okay state. 
Pretending that they are not sick and keep pushing through. 
How sick they are feeling now isn't as bad as the other times when they have been worse. 
The sickness is annoying cough. "
"04zjrf3wqi2y","1","busy","relaxed","They have a lot to do, but are having fun and enjoying it
Working, but in a peaceful and quiet environment
"
"yck6zmx99kea","1",NA,NA,NA
"b1drxu77qajo","1","sick","tired","they are frustrated and don't want to do something anymore
they have a cold and don't want to get out of bed
they are really disappointed by an outcome and it has happened this way in the past
"
"lksv5911ze2i","1","blank","confused","They aren't sure why they aren't feeling anything at a time that they should
They are confused about a problem but aren't sure how to solve the problem
"
"c2w3kbv6zxen","1","accomplished","determined","they have completed one step in a multi-step plan
they have graduated college and are taking on adulthood
they have made their friend happy and plan to do it again some time
they have finished making a sandwich and are determined to finish their homework soon
they completed a difficult game and still have to complete some unrelated life task
figured out the ATM and now have to go talk to a real live banker"
"3k8j8qzbxah5","1","sleepy","worried","Something is coming up that they've prepared for, staying up a lot, but still aren't confident about, giving much anxiety.
Something is coming up that they haven't really prepared for because they've been so busy (hence tired), which is worrisome.
They've anxiously stayed up waiting for something, like their daughter to come back from that party.
Some
"
"4knbxr1j9r0w","1","contemplative","determined","They might feel unusually thoughtful
They might feel that their mind is crowded
They feel that they have a clear goal, while still wondering about deeper meaning/future plans
They could feel uncertain about their motivations, but understand what they need to do next
They might feel slightly nostalgic and confused, but grounded in the desire to accomplish something. "
"fk8yjoees187","1","good","tired","They might be exhausted but proud from working hard.
They feel optimistic but are slowly losing hope.
"
"h2uguxo3f15k","1","chill","hungry","Sitting and watching something about food 
With their phone in bed and suddenly getting hungry 
Reading a book and wanting a snack to go with it 
relaxing with friends and ordering pizza 
staying up too late with friends and deciding to go to the Wawa
"
"n83yfzpk5d95","1","okay","relaxed","they got over something
they resolved something
something good is outweight the bad
they might start feeling happy after feeling sad
they might be thinking of something good
they might no longer be stressed
they might have completed a task
"
"v0wlo1vbdrvr","1","bored","calm","they might be tired but not worrying about much
they might be retreating into themselves
they might be feeling peaceful and not doing much
they might be relaxing 
they might be doing manual labor"
"adh7by1744ki","1","drained","tired","they feel exhausted
they just want to rest
they want to sleep
they don't feel happy about their life
they don't want to do anything
they feel devoid of energy
they don't feel like moving
they want to just sit and waste time
they wanted to watch TV
they're upset
"
"rx9qm0tytmgv","1","anxious","confused","overthinking and can't stop 
keep reenacting the situation in their head and wondering where they went wrong
sad
not being able to see the other person's side because clouded by their own perspective selfishly 
trying to make arguments to defend your own side of situation 
regretting your actions  "
"h9nwvyegtku5","1","blah","sad","they feel like they can't do anything
they feel like they can't get motivated
that the world is out of their control
that they can't get out of bed
that they can't will themselves to get out of bed
that they will never be happy in life
that existence is icky and depressing
that no one loves them
that they love no one
"
"plz2mnfli3y9","1","blah","excited","They have been emotionally drained from constant stress but they are possibly looking forward to an improvement in their situation.
They are going to a music concert of a genre they do not care for but will be able to meet someone they like at the concert."
"0jq1859e2bzk","1","exhausted","sick","They might be feeling despondent and frustrated
They might be feeling too tired to think of anything at all
They might have taken a Benadryl to feel better and now they're asleep
In their head they might bu full of despair
They might feel powerless
They might feel they have no ability to return to health and improve their situation
In their mind they may be full of self-pity
They may be full of resentment for their friends who are presumably not looking after them
They may be angry at their bosses/teachers for giving them so much work, even when they're si"
"1hj6zbvwrnqv","1","blah","blank","Very confused about why they are doing what they are doing
Understimulated/very bored
Wanting a nap or change in scenery (to leave)
"
"hhfkcv3yebo0","1","annoyed","anxious","there might be a problem they don't know how to solve with a looming deadline
they might be waiting on a reply from someone long after they were expecting one
they might feel like they're part of an unfair system but don't really understand it
they might be in an unhappy relationship but are scared of breaking it off
"
"0khxbx7e1pra","1","calm","tired","They are thinking about how they have no responsibilities over the weekend
They are thinking about how they can sleep in tomorrow
They are thinking how proud they are of themselves for finishing the assignment late at night
"
"ezoezxvl64br","1","calm","lonely","Isolated, but happy within one's own mind
Happy with one's own company, but nonetheless desirous of the company of others
They might have many exciting mental projects to work on, but nonetheless they wish they had someone else around"
"per8r9c1jny9","1","awake","bored","Doing homework really late at night.
In a class they don't enjoy.
Don't have an agenda for the day and they are a very scheduled person.
Have been doing the same thing all day and want to finish it to say they finished it but are no longer interested in the content of what they are doing.
Trying to help a friend out but the friend is not cooperating or is taking a long time to complete each step.
Bored with your day to day life, want something new / more variety."
"qyhw6g8xa8rd","1","happy","lonely","I enjoy my life and am independent 
I am content and live under a roof but have no friends 
Have reached the meaning of life, but realize that I did it by myself
 

"
"w17j2x2ukaw8","1","flirty","hot","They want to take off their clothes in a seductive/self-promoting way
Walk around and find people to hit on
Seeing other people as more attractive
Having less regard for self-awareness, less restraint
"
"qorafq68ww2n","1","calm","confused","they don't understand something but they are okay with it
"
"ti4x4kvaou2b","1","feisty","mischievous","This person is plotting something
Something interesting is about to happen
Set up a prank for someone
They think they are a marauder from Harry Potter
About to do a ""socially unacceptable"" behavior that actually is socially acceptable
About to tick someone off a small amount
"
"ajjjupp08kpn","1","relaxed","tired","they are glad they finished their work, but are exhausted from doing so
they are happy and satisfied with their day
they feel a good type of groggy
they feel as one does right when they awake from a nap
they do not wish to do anything else, just to lay in bed and sleep
"
"2fn8rovk4j8k","1","awake","exhausted","Maybe they drank coffee, so they have a bit of a buzz and their thoughts are racing even though their body is exhausted. They probably feel high-strung and wired, and not at all calm.
They are alert and scared about some potential danger which keeps them awake even though they are tired.
They are anxious about not getting enough sleep, and their anxiety makes it even harder for them to fall asleep, so they feel stressed and worried and frustrated with themselves. 
"
"m8fv11sa145w","1","disappointed","hopeful","- you are upset by something but know that it will change in the future
- you know something has gone wrong, but you know this is not the norm and that it will change
- you believe in someone's potential and are disappointed with an action they made, but hopeful that they will change
- you are upset with yourself over a test grade, but know that if you work hard you will have better outcomes
- you are disappointed currently about your state of affairs but know that overall humanity is good and in the end things will work out
- you are upset that things are the way they are, but in order to go on must be hopeful"
"ym6q3my9vk3f","1","upset","worried","1. They could have done something that they know will upset someone; they are upset with themselves, they are worried about their friend's/sig other's/family's reaction
2. They could have procrastinated an assignment and so they are upset with themselves but also worried they won't finish.
3. Perhaps their friend did something that upset them while they were drunk or something; but they are also worried about their friend who is also in trouble for what they did.
4. They are upset with their friend for doing something that they told them not to do but also worried for their reputation.
5. They could be sad about the fact "
"dgknuehnnscr","1","annoyed","cheerful","Laughing through an annoyance
aware that something better is coming
"
"fx5msm7xu0ya","1","blah","drained","Tired and unmotivated
unable, and not wanting to do work
That feeling that causes one to sigh
"
"8nt5xtwezvda","1","confused","depressed","1) Well, there's a lot of reasons they might feel this way, infinite in some sense
2) They could be depressed because they're confused
3) They could be confused because they're depressed and they aren't used to feeling that way
4) They don't know how to proceed in a certain situation
5) "
"l8u4ruy3pa2k","1","drained","exhausted","They may be overwhelmed with school work.
They may have had a long day and been low on sleep.
They may have just had a fight with their partner.
They may be dealing with a lot of pressure to perform."
"axgduh9i8fb4","1","depressed","happy","There might be two different situations that evoke these opposite feelings. For example, someone's father died but they just earned their PhD.
A person had to make a depressing choice that they know was the right thing to do. For example, they had to turn in their close friend to the Honor Committee at Princeton.
The person could be bipolar and struggling to balance these alternating emotions."
"j045fzigx6ri","1","drained","sick","They feel miserable
They are desperate for a change of state
They feel really in need of emotional support/love from others
They are unhappy with life
They are mentally spent
They are disgusted
They feel ready to give up
They feel pretty depressed
They are unmotivated to keep up regular appearances
They feel sorry for themselves
"
"s3zmlb5et8wy","1","cheerful","sad","They feel upset about something, but put on a brave face.
They set aside their sadness believing that you shouldn't dwell on it and try to be happy instead."
"1edbsgvxsiqd","1","good","sleepy","They just finished an assignment they have been working on all night
They are happy with life but sleep deprived 
They are awake after a night out
They spent all night with someone they love 
They woke up early to do something good for others\
They woke up early to get the classes/dorm they wanted to
They danced so much they are exhausted
^ but other activity 
"
"sx30ovtcu95w","1","calm","happy","The person has just finished a big, important task, and feels at ease and proud
The person has just done something to get outside of their head, like exercising or doing a fun activity
The person is spending time with close friends
The person is on the beach
The person is reading a good book
The person is reminiscing on past memories with a friend
The person is on track with what they had planned
"
"vvww039mwotf","1","calm","content","they are relaxed and know something good is about to happen 
they just finished their last final 
they don't care about results and they have exciting plans 
they are very optimistic for how the day is going to go 
they take one thing at a time 
they are at the beach 
it is summer time 
they just did something they are very proud of that was very hard 
"
"j0cnnf18me8b","1",NA,NA,NA
"fgnckhp5ft4p","1","hopeful","lonely","They might feel like they don't have any friends but are hopeful they'll make some friends in the future
They are in a rough situation right now but it might get better
"
"1iqddv9olptj","1","blah","sleepy","they are feeling tired and annoyed 
they are upset at someone taking time away from them to show them a stupid YouTube Video, when they needed to have been doing homework
someone reminds them of a task they were supposed to do, but they really dont want to get out of bed to do it.
they are tired of all the BS excuses that people keep giving them, and when a friend tries to cheer them up and provide some hope, they just are not in the mood to hear it. 
 "
"j1vomkqxiz9m","1","blah","bored","they are apathetic
they can't think of anything to do and wouldn't be motivated to do it if they could
they feel lethargic and dull
they don't have energy or motivation to do anything
they want to sleep, not because they are tired but because they can't think of anything better to do
they feel like they are wasting time but don't seem to care
"
"t6o4ejc66621","1","drained","tired","They feel very jaded about life 
They want to sleep a lot and relax 
They do not want to do anything
They want to drop out or take a break from school
They want to not do their work and just hang out with their friends
They want to skip classes to get more rest 
"
"dij8d5348uqa","1","amused","chill","they might be thinking about a funny memory
all of the work they are choosing to procrastinate
"
"ufq43y69ni78","1","amused","contemplative","they scored highly on an exam they thought they did poorly on
"
"3s9so34dqf4l","1","anxious","bored","Alone in the middle of the summer and all their friends are gone and they want something to do
They have nothing to do but want something to do
On a plane and can't wait to get off
"
"24iyijegbc9r","1","upset","worried","they feel overwhelmed
they feel like they are not in control
they feel helpless
they feel anxious about something
they feel that they will not be ok
"
"3ociync0s5da","1","anxious","relieved","Getting through a stressful task
Chopped a task into small bits
Came up with a good idea that might be hard to implement
a situation seems to be going well but has not yet been resolved
"
"4bl66xtcfhy3","1","calm","confused","suddenly snowing inside
lying on the floor of an unknown house
hair all gone 
back massage
"
"qj6muh6hkk0s","1","sad","upset","have to do this study for 1.5 hours
be hungry
miss somebody a lot 
"
"7kj5e9zt1l8b","1","confused","hopeful","Someone they like answered with ""I don't know.""
They're hopeful they can succeed but not sure what to do to succeed.
They're almost done with a problem but not sure how to do the last step.
They're not sure how someone else feels about them but is hopeful they can change their mind.
They are close to sealing a deal but are thrown off by facial and body cues.
They arrived at the airport for vacation but don't understand the announcement while waiting.

"
"00qpnwxld6yw","1","good","sleepy","they just ate a good meal and eating has drained them but it was good
they had such a fun day that they are now tired
they finished a marathon and feel accomplished but tired
they stayed up late to watch a movie with friends"
"2qdgh2r6bh2c","1","bored","busy","Highly unsatisfied with the work at hand.
Feels as if they're human assets are being wasted.
Would rather they take an exciting but low-key break.
"
"d4z0tfitcpwt","1","loved","worried","They are feeling mixed up on the inside. 

They aren't sure how they feel. 

They're confused. 






































"
"h1kg7lbo9g4m","1",NA,NA,NA
