"ID","trial","word1","word2","response"
"6qyjh03w1tmc","1","busy","sleepy","They have lots of work to do
They have not slept in a while and have a normal amount of work
Their job requires a large amount of physical or mental stamina
They have sacrificed sleep to do something else
They have a normal amount of work but have insomnia
They are permanently sleepy
They are permanently busy
They are studying for exams
They have poor sleeping habits and procrastinate
They enjoy working late at night and have a lot due the next day
"
"fotw2whals6q","1","happy","loved","Had a positive experience with friends and family
Just got married
Just got engaged
Went on a nice date
Had a passionate encounter"
"gcdusdxn3ajb","1","calm","confused","They are doing yoga but asked to do an illogical progression of poses
The pastor is saying odd things in church
They're talking to a friend who says something out of the ordinary
They're trying to do homework well in advance and it isn't making sense
"
"52lgz188nf0d","1","cheerful","good","When they got an exam back and did well on it. 
They helped out a friend by giving them advice. 
After talking to a friend who has given them advice on a serious problem. 
AFter going to the gym. 
When someone compliments on their outfit or school work. 
Someone pointing out a positive aspect of them when they didn't realize they had that aspect. "
"04zjrf3wqi2y","1","loved","worried","They have a severe illness and need to get surgery done soon, and all their friends and family come to visit in the hospital
They are in a relationship and things are going well, but he/she is always worried it won't last

"
"yck6zmx99kea","1",NA,NA,NA
"b1drxu77qajo","1","annoyed","happy","They are being criticized by the people that they lead but they are happily close with the other leaders
They have to wait in a long line but that line is to go on a rollercoaster
They lost their save on a video game but they're playing their favorite game
A person hit on them and it was unwanted but they're having fun partying at the club
"
"lksv5911ze2i","1","busy","relaxed","They have a lot of things on their plate but they feel they can accomplish them all
They have a lot of things going on but they have techniques that they use to stay relaxed, like meditation

"
"c2w3kbv6zxen","1","loved","sad","someone died and someone else is comforting you
someone loves you but you don't love them back
someone's comforting you after a negative occurrence of any sort (bad grade, broken leg, rejection letter, etc)
you're in a loving relationship but everything else in life is going downhill
you got fired from your job but then come home to your nice kids
someone expresses love to you but you can't get rid of the paranoia that they secretly hate you
someone expresses love to you but you fear you're mistreating them
someone says they love you but explicitly points out th"
"3k8j8qzbxah5","1","blah","blank","They are quite tired and don't have the energy to care.
They don't really know the people around them, don't have ideas about how to engage.
They are sick, don't want to care/think/talk.
The effect of drugs of some kind.
Lost faith in ""the process"" because of a recent rejection. "
"4knbxr1j9r0w","1","blah","tired","The person had a long day, and didn't learn anything interesting in their classes/at work.
The person didn't get much sleep the night before, and feels unexcited by their plans for the day. 
The person is unexcited about a future job they'll be starting, and tired out by moving into a new area. 
The person is exhausted from a hard workout, but the workout went very poorly
"
"fk8yjoees187","1","confused","lonely","A significant other might have given them mixed signals.
They might be questioning their gender identity.
They are faced with a situation that goes against their morals and do not feel comfortable confiding in others.
Someone might have done something that made them question the other person's loyalty."
"h2uguxo3f15k","1","anxious","happy","They are about to do an interview for a job which is hard to get an interview for 
Their new child is about to be born 
The test scores for an exam they thought they did well on are coming out 
The acceptance letter for a school they are interested in and worked hard on the application for is coming out 
They are getting married 
Someone close to them is getting married 
It is graduation day 
They are meeting a celebrity or famous person that they really like 
You are at your child's first performance"
"n83yfzpk5d95","1","calm","sad","something bad happened
something bad happend but they can't do anything about it
someting sad happened but its over
something sad happened but they also don't care that much
something sad happened but they are tired and calm
something sad happened and they are tryna be chill about it
something sad happened
"
"v0wlo1vbdrvr","1","alive","sleepy","they might have gone on a long hike and are very tired but they feel alive for having completed such a long task
they might have just finished a test and feel exhausted but did really well on it so they feel good
they might have gotten little sleep the night before but just got some really good news
they might have watched a movie late at night but really connected with the characters emotionally
"
"adh7by1744ki","1","aggravated","annoyed","someone did something that annoyed them
after repeatedly telling someone to stop doing something, they continue
a team member keeps on doing something wrong
the garbage collection truck wakes them up every morning
their sibling keeps bothering them
someone keeps asking them questions they don't want to answer
someone they don't like is joining the team
someone they don't like keeps on trying to interact with them
a friend is acting different"
