ID,Alternative Uses
A1FSPD1LIOXCN1,hair bun holder / ruler / dart / donut holder / splint / paper weight / drumstick / back scratcher / to reach the reset button /
A1GN9TMCN82WPL,Writing / Stabbing / Drawing / Accessory / Toothpick / Stress reliever / straw /
A1IHKUDBWZ9FGA,writing / putting hair up / tapping / drumming / drill small hole / as a skewer / chewable toy for pets / toy / craft projects / balancing / connecting two things / as a compass center / to point / to underline text / to draw / support for growing plants
A1IQV3QUWRA8G1,writing instrument / art tool / crafting tool / stabbing weapon / hole punch / straw (hollowed out) / paper clip / tent spike / dart / paint stirrer / ruler
A1J21DM2Z753X4,box cutter / writing / dull knife / hole punch / small probing tool / tooth pick (after removing ink) / small piercing tool / fork substitute /
A1LUKFJY0WXO7F,Write a shopping list / Use it to put my hair up / Draw a picture / Point at something on a screen / Poke a hole in a sheet of paper / Fill out a form / Pry open a container / Prop up a book / Use the clip on the side as a bookmark / Fidget with it while concentrating / Open a letter / Poke through a clog in a glue bottle / Decorate a picture frame /
A1LXW53Z5S9XG,writing tool / tooth pick / ear cleaner / paper punch / dart / murder weapon / digging tool / use it to get an object stuck in a small space / screwdriver / tattoo / hair clip / spit ball gun / chew toy / book mark / ruler / straight edge / /
A1M682B2WUSYJP,Use as a chopstick / Use as a small roller to move things / Used to reach an itch / Use as a measurement device /
A1OMC3HZ3ZV1SX,To write / To tear plastic / to mark a spot / to balance / as a mustache / to tap a rhythm / to scratch an itch / to push a button / to point / to dial a number on a rotary phone / to make a hole /
A1QG4WF9ZTZTK2,to put my hair up / to use as a spinner / drumsticks for invisible drum / curtain rod for barbie house / use several to move an object on the floor like a tires do / sign for houseplants / a balancing beam / use as an extension to type on a keyboard / a straw / a stirrer / to stabilize weak plant branches / dart / knitting needle / spitball shooter /
A1UGEI18TCSIFR,to poke a hole / to stab a rapist or kidnapper / to unlock a bike lock / as a straw / for an improvised tracheotomy / to make a chandelier / as a wire guide / as a source of plastic to melt down / use as a ruler / to perform an Age Test / to make a Gamebit screwdriver / as finger splint / to store & pass secret messages / to leave reminders on the back of your hand / to poke an eye out / to turn into a set of eating utensils / as a paint stirrer / to make a fishing lure / to make a model rocket / to create a practice morse code key / to construct a set of scales / as a probe / to play an improvised version of spin-the-bottle
A1VE6XGZ47GGS,write with / style hair / hold pigs in / hold kids in / hold flowers up / deor / pick a lock / straw /
A1VVY6OM5X5N0C,Mail opener / eating utensil / weapon / pointer / toy / stylus / nail file / fire starter / straw / back scratcher / earring / pendant / turnicket / brace / threader / baton / rolling pin / hair accessory /
A1XZIWZZAM9JWO,"Write / Draw / Build a box made of pens / Use it as a string for bait / A pen can be used to help hold up something / A pen can be used to create DIY art / Pens can be used to help hold a door open / Pen can be used to make holes in paper or other objects / Pen can be used to get something small to open, such as the backing to a device / Pens can be used as outlines to a picture / Pens can be used to hold a place in"
A1Z6F664MYBMVI,writing / put your hair up / get something out of a tight space / pick a lock / take a test / write a check / as a straw / to guide a wire / to use as a spit gun / a ruler / splint for finger / to stir something / /
A1ZD1QAF8FYN60,I can use it to write. / I can use it to point to something. / I can use it to reach something. / I can use it to scratch something. / I can use it to mark something. / I can use it open something.
A207DVJ897EVJV,writing instrument / pin / fashion statement / status symbol / button pusher / window lock / toy / /
A215VSM181SC0F,writing / mobile / you could use it to make a clock face (the pen would be the minute or hour hand) / You could decorate a lampshade with multiple pens (they could hand down as if they were the shade) / You could take it apart and use the spring if you needed a small spring / You could glue a magnet to it as use it as a magnet / You could use the top as a decoration or a tool (I've used it as a small screw driver) / You could glue many pens to a chair or a pot as a decoration (when old
A2196WCNDZULFS,"to write with / to put up your hair with / to tie a growing plant to, as a stake / spin the ""bottle"" / tap it when bored / click it when bored / itch yourself with it / play catch with it / throw at it someone when they annoy you / give temporary tattoos / put a cd on it and spin it / snort cocaine, if you're into that / take it apart and use it as a straw / take it apart and pretend that you are MacGyver / pretend to smoke / dig stuff out from under your nails with it / put it behind your ear and feel sm"
A239EUWY6SNDEZ,write / fork / spitwad shooter / water sprayer / scratcher / knife / stabber / toy / cat toy / chew toy / pacifier /
A23VM3SZWYATBO,writing / book mark / advertising medium / stylus
A24MFJ893DQKW1,writing / chewing / cleaning ears / digging a hole / poking things / color / fill up cap with water to drink from / throw it / stir with it / mash potatoes with it / make a hole with it / make music with it / blow through it if you take out ink part / play with it / spin it for fun / make a fake tattoo on body with it / trace it / float it / direct traffic or musicians with it / pointer for a whiteboard or slideshow / twirl it in your fingers / scratch back with it / us it as a dog or cat toy / tie line and make a fishing pole / drum sticks /
A24ZAX5O63WVNI,Write with it / Reset clock in car / use it for a book mark / keep an animal in it; ie pigpen / reinflate a collapsed lung / use it for a shirt pocket decoration / Draw a picture / use it for a pointer /
A2541C8MY0BYV3,Writing / drum stick / chopstick / knitting needle
A26RO8GGTQAXGG,weapon / write / jewelry / tracheaotomy / straw / cat toy / teething toy / blow dart tube / javelin contest for mice / baseball bat for tiny jack balls / etching /
A26ZENZ5G8AEGM,write / point / hold down papers / hold back hair / use point to reset a modem / rub to relieve worries / measuring tool / prop up keyboard / stir food / /
A27SMEOPKV84VI,writing / seesaw / fidget assistant / placeholder / drink stirrer / pointer / noisemaker / rubber band holder / mini rolling pin for playdough / paperweight /
A292IMAU5EW3MN,Writing / Getting into a tight space / CPR / Blowing spitwads / Making a tourniquet / cat toy / / making a home made barometric pressure gauge / Science experiments with balloons to test weather patterns / making a bridge / Enough of them can build a small cabin for toys. / for pointing at things /
A2A1FS0KVLJ9ZT,Kill a man with / Draw with / Jumpstart someone's heart with (like in Pulp Fiction) / Impromptu straw / catheter /
